"Temp";"Bioscreen";"k";"r"
33;"A";1.02171076700186;0.280616712800191
33;"A";1.0326518440703;0.345855546423602
33;"A";1.07486789064907;0.347070999385514
33;"A";1.03213809794163;0.367158737506468
33;"A";1.11443916457633;0.358496393183889
33;"A";1.21827097808135;0.336167485828945
33;"A";1.21362906846984;0.315811931135309
33;"A";1.15227465099973;0.32483719241593
33;"A";1.20457894241027;0.197761029591455
33;"A";0.98749494133321;0.163179443166858
34;"A";1.26075715796977;0.390213325815389
34;"A";1.37250540888255;0.356588572219776
34;"A";1.3812117311746;0.359363534089409
34;"A";1.36379563992113;0.357533889177465
34;"A";1.37416006528653;0.363486045068252
34;"A";1.33866068258884;0.361027054323822
34;"A";1.3531011505157;0.380251378453989
34;"A";1.17086934506156;0.432096612950114
34;"A";0.91343912526512;0.497949010351797
34;"A";1.01841199092399;0.364979669129335
34;"A";1.14432114151453;0.38154054828173
34;"A";1.11925920044772;0.399782603116373
34;"A";1.0547653111217;0.353992436995309
34;"A";1.14531719436366;0.375388938347113
34;"A";1.33539982451048;0.348696554435823
34;"A";1.26091890920967;0.358796000936835
34;"A";1.28616971457171;0.3640910776548
34;"A";1.15324217385217;0.315009727983206
34;"A";0.873368663670936;0.280312921321388
34;"A";0.95172480085314;0.418728388106479
34;"A";1.07308194082082;0.418467971725984
34;"A";1.11746966233345;0.428801685249234
34;"A";0.968872421753075;0.420985083005539
34;"A";1.15611421059644;0.406715303554412
34;"A";1.02344454571402;0.405565591870838
34;"A";1.05002725914508;0.394690865375328
34;"A";1.21320825424155;0.369294016759063
34;"A";1.09810915759624;0.287309863803341
34;"A";0.928832154640192;0.274249476191177
34;"A";1.00557495434177;0.372556906186768
38;"A";0.975518921356536;0.239282123549374
38;"A";0.824388982401595;0.124824076636356
38;"A";1.23698831607582;0.119837171787597
38;"A";1.01821557278675;0.18843711217711
38;"A";1.01540228956351;0.24879894343156
38;"A";1.05969587461437;0.238955346450387
38;"A";0.90105260875334;0.203049748291237
38;"A";0.658603582919548;0.224519648396454
38;"A";0.587984181436884;0.146250090975705
38;"A";0.344305224344283;0.1797961797176
38;"A";3.15620726659284;0.121109388399838
38;"A";1.57485699804982;0.192813069978245
38;"A";1.49365431277051;0.193868426983968
38;"A";1.53160229604309;0.185863486767088
38;"A";1.46096197421716;0.21212621166948
38;"A";2.08715128039691;0.13314704469914
38;"A";1.63323960906505;0.172571100673867
38;"A";1.8088213097628;0.149720025523088
38;"A";1.50576168655603;0.222248863509714
38;"A";0.786016238998442;0.114976916494146
38;"A";0.968973270170459;0.09952816022716
38;"A";1.83889962901087;0.153741428020674
38;"A";1.81565655253862;0.160787362362236
38;"A";5.53386068476576;0.116097705009353
38;"A";1.44183141050885;0.229981301606727
38;"A";1.43300630948565;0.228586945394985
38;"A";1.43605991471011;0.22852089875799
38;"A";1.71051902591519;0.171738748590271
38;"A";2.11357147334961;0.140777092804388
38;"A";1.00941103800133;0.105893932308864
28;"B";1.46216908662476;0.195698627367587
28;"B";1.40887266283447;0.202019332522612
28;"B";1.46051119828732;0.199644882629396
28;"B";1.32659695312869;0.187586768055708
28;"B";1.47771894947316;0.19012770552697
28;"B";1.47365661305944;0.185271786047153
28;"B";1.50929902174846;0.187441241974794
28;"B";1.39252641784275;0.190776261574813
28;"B";0.508895745232051;0.231883934433874
28;"B";0.773474823153387;0.212455762049788
28;"B";0.810732325514864;0.200856565324095
28;"B";0.7081640816897;0.206592950570557
28;"B";0.764477801882997;0.188112318862521
28;"B";0.743021464511286;0.189267234556895
28;"B";0.975262897483374;0.179325904050779
28;"B";0.772402360884638;0.190714131290747
28;"B";0.620176634518989;0.205034325243831
28;"B";0.510268125127323;0.19461757643152
28;"B";0.450159939822024;0.252097200480171
28;"B";1.08409322157916;0.181015307234353
28;"B";1.03996716026472;0.180867851532388
28;"B";1.24598324876272;0.157750032432561
28;"B";0.778260099719142;0.177246256749112
28;"B";0.799405333710046;0.16459205126302
28;"B";0.702541114380391;0.174709342153885
28;"B";0.715145045041514;0.174693646648996
28;"B";0.789486269858099;0.164607044861673
28;"B";0.568117956240923;0.203367511989608
28;"B";0.454929340799009;0.2585800489829
28;"B";0.870625057341352;0.170150737308994
32;"B";1.29565428183178;0.251550494462571
32;"B";1.26211699483255;0.283159443832211
32;"B";1.25637972319262;0.288407114602032
32;"B";1.35074463073088;0.274674428319424
32;"B";1.34102876919764;0.278134717971994
32;"B";1.31244801579471;0.236717584001403
32;"B";1.34361709041616;0.243716501519573
32;"B";1.41206308098165;0.266144919112532
32;"B";0.937134378761079;0.254464643408345
32;"B";1.09826892397796;0.234694965216206
32;"B";1.36886706652723;0.262955671474711
32;"B";1.41206940205503;0.261583698757693
32;"B";1.34685797721608;0.254022361159703
32;"B";1.43862380233156;0.265386259640508
32;"B";1.41222735705029;0.258703540727782
32;"B";1.39079952618928;0.258312095238791
32;"B";1.4270493676621;0.256979438264719
32;"B";1.43786611913206;0.261190852111553
32;"B";1.44290741678677;0.262757379825861
32;"B";1.27637002027028;0.276057308878573
32;"B";1.37736373671032;0.260354466761689
32;"B";1.4018559577196;0.275116789614292
32;"B";1.40080288840179;0.268739667739219
32;"B";1.37565267363702;0.272045330480864
32;"B";1.3774934774558;0.256204575571935
32;"B";1.38730670726088;0.263345431381421
32;"B";1.38858384667743;0.266891847114112
32;"B";1.02832728272247;0.26420211755039
32;"B";0.971216963325289;0.214851634129519
32;"B";1.94210506484855;0.137911026365078
36;"B";1.6077585734104;0.315163567652252
36;"B";1.17672619593664;0.342106236367457
36;"B";1.35790981824743;0.371913888353215
36;"B";1.27044516191866;0.347171088497798
36;"B";1.36543630455045;0.339161879331638
