Competition.assay,Evolution.environment,Population.size,Evolved.strain.ID,Evolved.strain.mating.type,Evolved.strain.ade6.marker,Evolved.strain.genotype,Ancestor.genotype,Ancestor.mating.type,Ancestor.ade6.marker,Competition.replicate,Round,Picture.ID.initial,Evolved.strain.initial.CFU,Ancestor.initial.CFU,Competition.environment,Picture.ID.final,Evolved.strain.final.CFU,Ancestor.final.CFU
70,Extreme,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,1,5.1,3343,321,364,Extreme,3417,86,114
71,Extreme,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,2,5.1,3343,321,364,Extreme,3437,312,116
72,Extreme,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,3,5.1,3343,321,364,Extreme,3420,225,171
73,Extreme,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,1,5.1,3344,254,296,Extreme,3407,326,173
74,Extreme,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,2,5.1,3344,254,296,Extreme,3439,410,163
75,Extreme,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,3,5.1,3344,254,296,Extreme,3428,336,52
76,Extreme,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,1,5.1,3345,262,19,Extreme,3418,218,13
77,Extreme,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,2,5.1,3345,262,19,Extreme,3422,252,42
78,Extreme,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,3,5.1,3345,262,19,Extreme,3408,313,18
79,Extreme,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,1,5.1,3346,277,240,Extreme,3431,215,106
80,Extreme,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,2,5.1,3346,277,240,Extreme,3426,182,70
81,Extreme,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,3,5.1,3346,277,240,Extreme,3402,206,134
82,Extreme,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,1,5.1,3347,243,286,Extreme,3435,355,235
83,Extreme,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,2,5.1,3347,243,286,Extreme,3436,227,204
84,Extreme,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,3,5.1,3347,243,286,Extreme,3405,260,296
85,Extreme,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,1,5.1,3348,139,290,Extreme,3429,489,249
86,Extreme,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,2,5.1,3348,139,290,Extreme,3423,326,180
87,Extreme,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,3,5.1,3348,139,290,Extreme,3404,193,183
88,Extreme,24,2A,h+,M216,h+/M216,h+/M210,h+,M210,1,5.2,3441,162,128,Mean,3484,145,104
89,Extreme,24,2A,h+,M216,h+/M216,h+/M210,h+,M210,2,5.2,3441,162,128,Mean,3485,112,86
90,Extreme,24,2A,h+,M216,h+/M216,h+/M210,h+,M210,3,5.2,3441,162,128,Mean,3498,227,185
91,Extreme,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,1,6.4,4140,9,80,Mean,4212,71,433
92,Extreme,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,2,6.4,4140,9,80,Mean,4213,15,169
93,Extreme,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,3,6.4,4140,9,80,Mean,4214,9,181
94,Extreme,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,1,5.2,3443,98,84,Mean,3458,107,97
95,Extreme,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,2,5.2,3443,98,84,Mean,3480,65,39
96,Extreme,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,3,5.2,3443,98,84,Mean,3496,63,34
97,Extreme,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,1,5.2,3444,131,86,Mean,3470,98,114
98,Extreme,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,2,5.2,3444,131,86,Mean,3478,198,159
99,Extreme,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,3,5.2,3444,131,86,Mean,3503,141,112
100,Extreme,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,1,5.2,3445,98,81,Mean,3462,95,57
101,Extreme,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,2,5.2,3445,98,81,Mean,3466,243,146
102,Extreme,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,3,5.2,3445,98,81,Mean,3501,126,76
103,Extreme,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,1,5.2,3446,77,95,Mean,3461,107,203
104,Extreme,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,2,5.2,3446,77,95,Mean,3502,72,105
105,Extreme,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,3,5.2,3446,77,95,Mean,3489,123,239
106,Extreme,24,3D,h+,M210,h+/M210,h+/M216,h+,M216,1,5.2,3447,74,91,Mean,3491,85,194
107,Extreme,24,3D,h+,M210,h+/M210,h+/M216,h+,M216,2,5.2,3447,74,91,Mean,3492,122,160
108,Extreme,24,3D,h+,M210,h+/M210,h+/M216,h+,M216,3,5.2,3447,74,91,Mean,3504,153,149
109,Extreme,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,1,5.2,3448,145,118,Mean,3471,54,172
110,Extreme,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,2,5.2,3448,145,118,Mean,3481,81,327
111,Extreme,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,3,5.2,3448,145,118,Mean,3499,69,219
112,Extreme,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,1,5.2,3449,119,111,Mean,3482,87,140
113,Extreme,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,2,5.2,3449,119,111,Mean,3488,194,385
114,Extreme,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,3,5.2,3449,119,111,Mean,3497,194,308
115,Extreme,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,1,5.2,3450,56,107,Mean,3459,50,125
116,Extreme,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,2,5.2,3450,56,107,Mean,3475,97,157
117,Extreme,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,3,5.2,3450,56,107,Mean,3483,88,188
118,Extreme,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,1,5.2,3451,81,121,Mean,3457,118,109
119,Extreme,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,2,5.2,3451,81,121,Mean,3472,179,184
